Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
3006 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=OTCM%2BOTCQX%20U.S.%20Premier%2BCommon%20Stock%2BOTC%20Markets%20Group%20Inc.;grp=%5Bgroup%5D;misc=1431971743995,10,112,96,138,14.69,0.00%,.4,1.07,2631.3
3009 /adi/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=%5Btimestamp%5D,10,81,63,138,21.93,0.00%,.4,1.64,4032.1
3011 /ads/fif.jsp,10,49,37,102,18.16,0.00%,.4,0.40,988.0
3012 /ads/fif.jsp,10,44,36,63,9.08,0.00%,.4,0.40,988.0
3013 /ads/fif.jsp,10,43,38,57,6.04,0.00%,.4,0.40,988.0
3010 /ads/fif.jsp,10,48,37,54,5.41,0.00%,.4,0.40,990.0
3014 /ads/fif.jsp,10,52,36,114,24.27,0.00%,.4,0.40,988.0
3015 /ads/fif.jsp,10,42,35,56,6.71,0.00%,.4,0.40,988.0
3004 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=972441307,10,298,275,352,24.12,0.00%,.4,0.41,1021.0
3016 /addyn%7C3.0%7C5303%7C2799333%7C0%7C6%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444815,10,119,94,152,19.24,0.00%,.4,0.53,1322.7
3019 /addyn%7C3.0%7C5303%7C2821256%7C0%7C5%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444840,10,148,93,384,82.99,0.00%,.4,1.03,2584.5
3022 /addyn%7C3.0%7C5303%7C2821253%7C0%7C5%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444876,10,124,87,166,21.55,0.00%,.4,0.80,2003.1
